Name_ID,Gender,Breed,Age,Animal Type,Weight,Brought to Shelter,Kennel Location,Scrape Date,age_numeric,Weight_num,Name,ID,location_simple,kennel_name,kennel_num,side,Days_at_shelter,result
LORAX (A1236791),Male,Pit Bull Terrier,"1 year, 1 month old",Dog,65 pounds,2024-11-21,ADOPT 12R,2024-12-30,1.0,65.0,LORAX,1236791,Byrum,ADOPT ,12,R,39,Looking for Furever Home
BARBS (A1236797),Female,Pit Bull Terrier,4 years old,Dog,43 pounds,2024-11-21,TOOMEYD15,2024-12-30,4.0,43.0,BARBS,1236797,Toomey,TOOMEYD,15,,39,Looking for Furever Home
WHISKEY (A1235520),Male,American Pit Bull Terrier,"2 years, 2 months old",Dog,50 pounds,2024-11-20,FOSTER,2024-12-30,2.0,50.0,WHISKEY,1235520,Foster,FOSTER,,,40,Looking for Furever Home
LUNA (A1236696),Female,Labrador Retriever and Pit Bull Terrier,"1 year, 1 month old",Dog,30 pounds,2024-11-19,FOSTER,2024-12-30,1.0,30.0,LUNA,1236696,Foster,FOSTER,,,41,Looking for Furever Home
TRENTON (A1236725),Male,Pit Bull Terrier,"2 years, 1 month old",Dog,65 pounds,2024-11-19,TOOMEYD28,2024-12-30,2.0,65.0,TRENTON,1236725,Toomey,TOOMEYD,28,,41,Looking for Furever Home
EARL (A1235889),Male,German Shepherd Dog mix,"2 years, 2 months old",Dog,73 pounds,2024-11-19,FOSTER,2024-12-30,2.0,73.0,EARL,1235889,Foster,FOSTER,,,41,Looking for Furever Home
KELLY (A1222923),Female,Pit Bull Terrier,5 years old,Dog,44 pounds,2024-11-19,FOSTER,2024-12-30,5.0,44.0,KELLY,1222923,Foster,FOSTER,,,41,Looking for Furever Home
BROM (A1232433),Male,American Pit Bull Terrier,3 years old,Dog,47 pounds,2024-11-18,FOSTER,2024-12-30,3.0,47.0,BROM,1232433,Foster,FOSTER,,,42,Looking for Furever Home
VIOLET (A1228132),Female,Pit Bull Terrier,6 years old,Dog,60 pounds,2024-11-17,FOSTER,2024-12-30,6.0,60.0,VIOLET,1228132,Foster,FOSTER,,,43,Looking for Furever Home
BRUNO (A1162164),Male,Australian Cattle Dog mix,5 years old,Dog,60 pounds,2024-11-17,FOSTER,2024-12-30,5.0,60.0,BRUNO,1162164,Foster,FOSTER,,,43,Looking for Furever Home
GONZO (A1236618),Male,Pit Bull Terrier mix,"2 years, 1 month old",Dog,55 pounds,2024-11-17,FOSTER,2024-12-30,2.0,55.0,GONZO,1236618,Foster,FOSTER,,,43,Looking for Furever Home
