Name,Gender,Breed,Age,Animal Type,Weight,Brought to Shelter,Located At,Kennel Location,Qualified For,Scrape Date
CHOP (A1204115),Male,Pit Bull Terrier,4 years old,Dog,55 pounds,2024.11.22,Charlotte-Mecklenburg Animal Services,LST 18L,adopt,2024-12-08
ZUMA (A1223632),Male,Australian Shepherd,"1 year, 1 month old",Dog,21 pounds,2024.11.22,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
BOPEEP (A1229446),Female,Pit Bull Terrier,"2 years, 6 months old",Dog,48 pounds,2024.11.22,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
MARINETTE (A1236837),Female,Pit Bull Terrier mix,"2 years, 1 month old",Dog,28 pounds,2024.11.22,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
A1236851,Male,Labrador Retriever and American Staffordshire Terrier,"1 year, 1 month old",Dog,44 pounds,2024.11.22,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
CLEO (A1236861),Female,Pit Bull Terrier,"2 years, 1 month old",Dog,53 pounds,2024.11.22,Charlotte-Mecklenburg Animal Services,DOGNCARE 1,adopt,2024-12-08
KANOA (A1236863),Male,Siberian Husky,11 months old,Dog,38 pounds,2024.11.22,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
APOLLO (A1236029),Male,Harrier mix,5 months old,Dog,47 pounds,2024.11.22,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
BUZZ (A1236788),Male,American Pit Bull Terrier,"2 years, 1 month old",Dog,54 pounds,2024.11.21,Charlotte-Mecklenburg Animal Services,ADOPT 01R,adopt,2024-12-08
LORAX (A1236791),Male,Pit Bull Terrier,"1 year, 1 month old",Dog,65 pounds,2024.11.21,Charlotte-Mecklenburg Animal Services,DOGNCARE 2,adopt,2024-12-08
HECTOR (A1236793),Male,Labrador Retriever mix,"2 years, 1 month old",Dog,53 pounds,2024.11.21,Charlotte-Mecklenburg Animal Services,DOGNCARE 1,adopt,2024-12-08
BARBS (A1236797),Female,Pit Bull Terrier,4 years old,Dog,35 pounds,2024.11.21,Charlotte-Mecklenburg Animal Services,ADOPT 09R,adopt,2024-12-08
MAUDE (A1236820),Female,Pit Bull Terrier,3 years old,Dog,50 pounds,2024.11.21,Charlotte-Mecklenburg Animal Services,DOGNCARE 2,adopt,2024-12-08
HONEY (A1235777),Female,Labrador Retriever,9 months old,Dog,37 pounds,2024.11.21,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
WHISKEY (A1235520),Male,American Pit Bull Terrier,"2 years, 2 months old",Dog,46 pounds,2024.11.20,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
EARL (A1235889),Male,German Shepherd Dog mix,"2 years, 2 months old",Dog,73 pounds,2024.11.19,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
LUNA (A1236696),Female,Labrador Retriever and Pit Bull Terrier,"1 year, 1 month old",Dog,27 pounds,2024.11.19,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
TRENTON (A1236725),Male,Pit Bull Terrier,"2 years, 1 month old",Dog,68 pounds,2024.11.19,Charlotte-Mecklenburg Animal Services,DOGNCARE 1,adopt,2024-12-08
BONNY (A1226995),Female,Pit Bull Terrier,4 years old,Dog,61 pounds,2024.11.19,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
KELLY (A1222923),Female,Pit Bull Terrier,5 years old,Dog,44 pounds,2024.11.19,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
KANDY (A1160087),Female,Labrador Retriever mix,8 years old,Dog,56 pounds,2024.11.18,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
LINUS (A1235715),Male,American Bulldog mix,3 years old,Dog,52 pounds,2024.11.18,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
BROM (A1232433),Male,American Pit Bull Terrier,3 years old,Dog,47 pounds,2024.11.18,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
CHARLES (A1236652),Male,Pit Bull Terrier,"1 year, 1 month old",Dog,51 pounds,2024.11.18,Charlotte-Mecklenburg Animal Services,ADOPT 22L,adopt,2024-12-08
SOPHIE (A1235985),Female,Pit Bull Terrier mix,"1 year, 1 month old",Dog,48 pounds,2024.11.18,Charlotte-Mecklenburg Animal Services,ADOPT 05L,adopt,2024-12-08
BUBBLES (A1236687),Female,Labrador Retriever and Siberian Husky,8 months old,Dog,44 pounds,2024.11.18,Charlotte-Mecklenburg Animal Services,FOSTER,adopt,2024-12-08
LOKI (A1236049),Male,Labrador Retriever mix,"2 years, 1 month old",Dog,58 pounds,2024.11.17,Charlotte-Mecklenburg Animal Services,TOOMEYD02,adopt,2024-12-08
GONZO (A1236618),Male,Pit Bull Terrier mix,"2 years, 1 month old",Dog,55 pounds,2024.11.17,Charlotte-Mecklenburg Animal Services,LST 26L,adopt,2024-12-08
BLUE (A1236636),Female,Pit Bull Terrier,"2 years, 1 month old",Dog,37 pounds,2024.11.17,Charlotte-Mecklenburg Animal Services,LST 35L,adopt,2024-12-08
